seed N_Given status difficulty
1 29 1 1
2 26 4 0
3 29 1 1
4 22 4 0
5 25 4 0
6 26 1 1
7 28 1 1
8 29 1 1
9 24 1 1
10 33 1 1
11 19 4 0
12 17 4 0
13 28 1 1
14 25 1 1
15 30 1 1
16 26 1 3
17 27 4 0
18 28 1 1
19 30 1 1
20 21 4 0
21 28 1 1
22 28 1 1
23 29 4 0
24 26 1 1
25 30 1 1
26 17 4 0
27 28 1 1
28 26 1 1
29 31 1 3
30 31 1 1
31 31 4 0
32 30 1 1
33 26 4 0
34 26 4 0
35 31 1 1
36 19 4 0
37 27 1 1
38 23 4 0
39 29 4 0
40 34 4 0
41 32 1 1
42 26 4 0
43 28 4 0
44 28 1 1
45 31 1 1
46 30 1 1
47 20 4 0
48 30 1 1
49 29 1 3
50 26 1 3
51 30 1 5
52 26 4 0
53 29 1 1
54 28 1 1
55 29 1 1
56 26 1 1
57 26 1 1
58 29 1 1
59 30 1 1
60 28 1 1
61 30 1 1
62 24 4 0
63 17 4 0
64 30 1 1
65 18 4 0
66 31 1 1
67 25 4 0
68 27 1 1
69 28 1 1
70 31 1 1
71 29 1 1
72 28 1 1
73 26 1 1
74 20 4 0
75 24 4 0
76 30 1 1
77 28 1 1
78 28 1 1
79 32 1 1
80 31 1 1
81 31 1 1
82 23 4 0
83 27 4 0
84 28 1 1
85 28 1 1
86 18 4 0
87 27 1 3
88 22 4 0
89 29 1 1
90 25 4 0
91 20 4 0
92 27 4 0
93 28 1 1
94 26 4 0
95 20 4 0
96 30 1 1
97 17 4 0
98 29 1 1
99 28 1 1
100 25 1 1
101 29 1 1
102 29 1 1
103 28 1 1
104 29 1 1
105 26 1 1
106 17 4 0
107 30 1 1
108 30 1 1
109 17 4 0
110 27 4 0
111 29 1 1
112 26 4 0
113 28 1 1
114 31 1 1
115 17 4 0
116 28 4 0
117 20 4 0
118 31 1 1
119 32 1 1
120 25 4 0
121 27 4 0
122 22 4 0
123 31 1 1
124 29 1 1
125 28 1 1
126 30 1 1
127 28 1 1
128 27 1 1
129 27 1 1
130 28 4 0
131 23 4 0
132 28 1 1
133 17 4 0
134 30 1 1
135 28 1 3
136 28 1 1
137 30 1 1
138 28 1 1
139 27 4 0
140 31 1 1
141 32 1 1
142 29 1 1
143 23 4 0
144 26 1 1
145 28 1 1
146 28 1 1
147 27 1 1
148 17 4 0
149 26 1 1
150 19 4 0
151 33 1 1
152 31 1 1
153 17 4 0
154 29 1 1
155 30 4 0
156 23 4 0
157 29 4 0
158 20 4 0
159 22 4 0
160 24 4 0
161 29 1 1
162 29 1 1
163 29 1 1
164 28 1 1
165 28 1 1
166 27 1 1
167 30 1 1
168 34 1 1
169 29 1 1
170 30 1 1
171 26 1 1
172 23 4 0
173 26 4 0
174 22 4 0
175 27 1 1
176 31 1 1
177 32 1 1
178 28 4 0
179 19 4 0
180 28 1 1
181 27 1 1
182 31 1 1
183 32 1 1
184 32 4 0
185 31 1 1
186 28 1 3
187 19 4 0
188 24 1 1
189 23 4 0
190 29 1 1
191 27 1 1
192 32 1 1
193 30 1 1
194 31 1 1
195 31 1 1
196 29 1 1
197 31 1 1
198 28 1 1
199 31 1 1
200 30 1 1
201 27 1 1
202 29 1 1
203 26 4 0
204 28 1 1
205 17 4 0
206 33 1 1
207 27 1 1
208 31 1 1
209 30 1 1
210 29 1 1
211 29 1 1
212 28 1 1
213 26 4 0
214 30 1 1
215 26 4 0
216 29 1 1
217 30 1 1
218 29 1 1
219 29 1 1
220 22 4 0
221 23 4 0
222 24 4 0
223 19 4 0
224 27 4 0
225 30 1 1
226 31 1 1
227 26 1 1
228 17 4 0
229 26 1 1
230 27 4 0
231 28 1 1
232 30 1 1
233 29 1 5
234 31 1 1
235 27 4 0
236 27 1 1
237 28 1 1
238 27 1 1
239 29 1 1
240 17 4 0
241 32 1 1
242 26 4 0
243 31 1 1
244 30 1 1
245 30 4 0
246 28 1 1
247 27 1 1
248 27 1 1
249 25 1 1
250 27 1 1
251 17 4 0
252 28 1 1
253 27 1 1
254 26 4 0
255 26 1 1
256 27 1 1
257 20 4 0
258 28 1 1
259 31 1 1
260 32 1 1
261 17 4 0
262 32 1 1
263 28 1 1
264 27 1 1
265 29 1 1
266 28 1 1
267 24 4 0
268 24 4 0
269 30 1 1
270 26 1 1
271 30 1 1
272 30 1 1
273 27 1 1
274 27 1 1
275 30 1 1
276 28 1 1
277 18 4 0
278 30 1 1
279 27 1 1
280 20 4 0
281 17 4 0
282 22 4 0
283 21 4 0
284 30 1 1
285 27 1 3
286 31 1 1
287 29 1 1
288 28 1 1
289 17 4 0
290 28 1 1
291 30 1 1
292 28 1 1
293 28 1 1
294 28 1 1
295 19 4 0
296 28 1 1
297 25 4 0
298 31 1 1
299 22 4 0
300 25 4 0
301 26 1 1
302 33 1 1
303 29 1 1
304 23 4 0
305 21 4 0
306 31 1 1
307 18 4 0
308 29 1 1
309 32 1 1
310 17 4 0
311 27 4 0
312 31 1 1
313 30 1 1
314 28 1 1
315 28 1 1
316 28 1 1
317 27 1 1
318 29 1 1
319 32 1 1
320 31 1 1
321 32 1 1
322 31 1 1
323 30 1 1
324 30 1 1
325 27 1 1
326 31 1 1
327 25 4 0
328 28 1 1
329 25 4 0
330 28 1 3
331 32 1 1
332 17 4 0
333 28 1 1
334 29 4 0
335 30 1 1
336 35 1 1
337 32 1 1
338 25 4 0
339 28 1 1
340 32 1 1
341 26 1 3
342 22 1 3
343 28 1 1
344 32 1 1
345 19 4 0
346 31 1 1
347 27 1 1
348 32 1 1
349 29 1 1
350 17 4 0
351 32 1 1
352 20 4 0
353 30 1 1
354 31 1 1
355 21 4 0
356 26 1 1
357 27 1 1
358 26 1 1
359 26 1 1
360 31 1 1
361 24 4 0
362 32 1 1
363 28 1 1
364 26 1 1
365 24 4 0
366 29 4 0
367 27 1 13
368 28 1 1
369 28 1 1
370 28 4 0
371 17 4 0
372 24 4 0
373 31 1 1
374 26 4 0
375 29 1 1
376 27 1 1
377 27 4 0
378 26 1 1
379 31 1 1
380 27 1 1
381 24 4 0
382 28 1 1
383 26 1 1
384 29 1 1
385 33 1 1
386 29 1 1
387 24 4 0
388 28 1 1
389 29 1 1
390 30 1 1
391 27 1 1
392 25 4 0
393 30 1 1
394 17 4 0
395 29 4 0
396 29 1 1
397 22 4 0
398 27 4 0
399 31 1 1
400 27 1 1
401 26 4 0
402 28 1 1
403 26 1 1
404 28 1 1
405 28 4 0
406 25 4 0
407 29 1 1
408 25 1 1
409 27 1 1
410 32 1 1
411 29 1 1
412 24 4 0
413 30 1 1
414 32 1 1
415 29 1 1
416 24 4 0
417 30 1 1
418 30 1 1
419 27 1 1
420 32 1 1
421 26 1 5
422 32 1 1
423 26 1 1
424 28 4 0
425 27 1 1
426 31 1 1
427 23 4 0
428 17 4 0
429 27 4 0
430 25 4 0
431 28 1 1
432 25 1 1
433 29 1 1
434 24 4 0
435 28 4 0
436 17 4 0
437 28 1 1
438 34 1 1
439 29 1 3
440 30 1 1
441 30 1 1
442 31 1 1
443 29 1 1
444 28 4 0
445 30 1 1
446 28 1 1
447 28 1 1
448 29 1 1
449 17 4 0
450 28 4 0
451 30 1 1
452 26 4 0
453 30 1 1
454 26 1 1
455 27 1 3
456 29 1 1
457 29 1 1
458 28 4 0
459 29 1 1
460 26 1 1
461 27 1 1
462 30 1 1
463 26 4 0
464 33 1 1
465 27 1 1
466 31 1 1
467 27 4 0
468 17 4 0
469 26 1 1
470 29 1 1
471 17 4 0
472 27 1 1
473 23 4 0
474 28 1 1
475 31 1 1
476 25 4 0
477 17 4 0
478 23 4 0
479 29 4 0
480 22 4 0
481 28 1 1
482 30 1 1
483 30 1 1
484 29 1 1
485 30 1 1
486 28 1 1
487 30 1 1
488 24 1 1
489 25 4 0
490 26 4 0
491 32 1 1
492 29 1 1
493 24 4 0
494 30 1 1
495 27 1 1
496 29 1 1
497 27 1 1
498 27 1 1
499 33 1 1
500 30 1 1
501 29 1 1
502 30 1 1
503 22 4 0
504 34 1 1
505 29 1 1
506 25 4 0
507 23 1 1
508 29 1 1
509 26 4 0
510 28 1 1
511 26 1 1
512 32 1 1
513 28 1 1
514 30 1 1
515 17 4 0
516 27 1 1
517 23 4 0
518 29 1 1
519 29 1 1
520 28 4 0
521 27 4 0
522 30 1 1
523 27 1 1
524 29 1 1
525 31 1 1
526 23 4 0
527 31 1 1
528 33 1 1
529 30 1 1
530 31 1 1
531 27 1 1
532 33 1 1
533 27 1 1
534 24 4 0
535 30 1 1
536 27 1 1
537 29 4 0
538 17 4 0
539 29 1 1
540 28 1 1
541 29 1 1
542 35 1 1
543 28 4 0
544 32 1 1
545 30 1 1
546 30 1 1
547 31 1 3
548 26 4 0
549 29 1 1
550 34 1 1
551 17 4 0
552 29 1 1
553 24 1 1
554 23 4 0
555 30 1 1
556 25 1 1
557 29 1 1
558 31 1 1
559 30 1 1
560 25 4 0
561 18 4 0
562 23 4 0
563 27 1 1
564 29 1 1
565 28 1 9
566 29 1 1
567 30 1 1
568 32 1 1
569 27 1 1
570 20 4 0
571 25 1 1
572 27 1 1
573 27 1 1
574 26 1 1
575 32 1 1
576 26 4 0
577 22 4 0
578 22 4 0
579 27 1 1
580 32 1 1
581 29 1 1
582 28 1 1
583 28 1 1
584 30 1 1
585 26 1 1
586 32 1 1
587 24 1 1
588 29 1 2
589 28 1 1
590 28 1 1
591 32 1 1
592 17 4 0
593 17 4 0
594 29 1 1
595 26 1 1
596 31 1 1
597 32 1 1
598 27 1 3
599 31 1 1
600 28 1 1
601 31 1 1
602 31 1 1
603 34 1 1
604 28 1 1
605 28 1 1
606 24 4 0
607 31 1 1
608 32 1 1
609 24 4 0
610 27 1 1
611 23 4 0
612 29 1 1
613 30 1 1
614 24 4 0
615 27 1 1
616 27 4 0
617 17 4 0
618 30 1 1
619 26 1 1
620 32 1 1
621 30 1 1
622 28 1 1
623 31 1 1
624 20 4 0
625 23 4 0
626 30 4 0
627 30 1 1
628 28 1 2
629 29 1 1
630 26 1 9
631 25 1 1
632 23 4 0
633 31 4 0
634 28 1 1
635 27 1 1
636 27 1 1
637 30 1 1
638 25 4 0
639 27 1 1
640 28 1 1
641 37 1 1
642 28 1 1
643 24 4 0
644 27 1 1
645 27 1 2
646 28 4 0
647 25 1 1
648 33 1 1
649 28 1 1
650 32 1 1
651 26 1 1
652 27 1 1
653 31 1 1
654 17 4 0
655 26 4 0
656 27 1 1
657 27 1 1
658 27 4 0
659 27 4 0
660 29 1 1
661 29 1 1
662 24 4 0
663 22 4 0
664 17 4 0
665 27 1 1
666 27 1 1
667 29 1 1
668 28 4 0
669 32 1 1
670 25 1 1
671 30 1 1
672 28 1 1
673 24 4 0
674 31 1 1
675 28 1 3
676 28 1 1
677 28 1 3
678 24 1 1
679 31 1 1
680 25 4 0
681 33 1 1
682 30 1 1
683 33 1 1
684 30 1 1
685 27 1 1
686 28 1 1
687 27 1 1
688 17 4 0
689 29 1 1
690 29 1 1
691 24 4 0
692 17 4 0
693 29 1 1
694 23 4 0
695 26 4 0
696 30 1 1
697 35 1 1
698 27 1 1
699 25 1 1
700 27 1 1
701 31 1 1
702 28 1 1
703 27 1 1
704 31 1 1
705 27 4 0
706 30 1 1
707 27 1 1
708 30 1 1
709 27 1 1
710 29 1 5
711 25 4 0
712 31 1 1
713 28 1 1
714 34 1 1
715 21 4 0
716 30 1 1
717 17 4 0
718 29 1 1
719 31 1 1
720 30 1 1
721 26 4 0
722 32 1 1
723 31 1 1
724 30 1 1
725 28 1 1
726 26 1 1
727 25 4 0
728 28 1 1
729 17 4 0
730 21 4 0
731 32 1 1
732 27 4 0
733 29 1 1
734 25 1 1
735 24 4 0
736 28 1 1
737 30 1 1
738 29 1 1
739 32 1 1
740 32 1 1
741 26 4 0
742 30 1 2
743 25 1 1
744 30 1 1
745 27 1 1
746 26 4 0
747 29 1 1
748 30 1 1
749 27 4 0
750 17 4 0
751 25 4 0
752 24 4 0
753 17 4 0
754 30 1 1
755 17 4 0
756 29 1 3
757 27 4 0
758 29 1 1
759 26 4 0
760 29 1 1
761 26 1 3
762 17 4 0
763 25 1 1
764 27 1 1
765 18 4 0
766 29 1 1
767 31 1 1
768 28 1 1
769 31 1 1
770 17 4 0
771 30 1 1
772 17 4 0
773 32 1 1
774 30 1 1
775 27 1 1
776 28 1 1
777 22 4 0
778 29 1 1
779 26 1 1
780 34 1 1
781 29 1 1
782 24 4 0
783 29 1 1
784 23 4 0
785 31 1 1
786 28 1 1
787 29 1 1
788 21 4 0
789 17 4 0
790 26 4 0
791 29 1 1
792 32 1 1
793 26 4 0
794 27 1 1
795 29 1 1
796 26 4 0
797 28 1 1
798 30 1 1
799 27 4 0
800 17 4 0
801 30 1 1
802 27 1 1
803 29 1 1
804 32 1 1
805 34 1 1
806 25 4 0
807 30 1 1
808 18 4 0
809 32 1 1
810 28 4 0
811 29 1 1
812 27 1 1
813 27 4 0
814 33 1 1
815 31 1 1
816 18 4 0
817 23 4 0
818 27 1 1
819 26 4 0
820 28 1 1
821 28 1 1
822 32 1 1
823 35 1 1
824 27 4 0
825 30 1 1
826 29 1 1
827 23 4 0
828 27 1 1
829 30 1 1
830 31 1 1
831 17 4 0
832 27 4 0
833 27 1 1
834 26 4 0
835 20 4 0
836 27 1 1
837 28 1 1
838 28 1 1
839 30 1 1
840 28 1 1
841 27 1 1
842 30 1 1
843 27 1 1
844 32 1 1
845 28 1 1
846 29 1 1
847 27 1 1
848 25 1 1
849 25 1 3
850 28 1 1
851 30 1 1
852 25 1 1
853 30 1 1
854 25 1 1
855 26 4 0
856 28 1 1
857 26 1 1
858 31 1 1
859 17 4 0
860 27 1 1
861 29 1 1
862 17 4 0
863 28 1 1
864 28 1 1
865 25 4 0
866 28 1 1
867 30 1 1
868 30 1 1
869 26 4 0
870 26 1 1
871 27 1 1
872 31 1 1
873 32 1 1
874 19 4 0
875 35 1 1
876 30 1 1
877 27 1 5
878 32 1 1
879 18 4 0
880 29 1 1
881 29 4 0
882 26 4 0
883 27 4 0
884 31 1 1
885 27 4 0
886 26 1 7
887 30 1 1
888 28 1 1
889 28 1 1
890 28 1 1
891 17 4 0
892 24 4 0
893 30 1 1
894 30 1 1
895 26 4 0
896 29 1 1
897 30 1 1
898 17 4 0
899 27 1 1
900 34 1 1
901 28 1 1
902 20 4 0
903 24 4 0
904 28 1 1
905 28 1 1
906 31 1 1
907 29 1 1
908 28 1 1
909 26 1 1
910 30 1 1
911 29 1 1
912 17 4 0
913 17 4 0
914 31 1 1
915 32 1 1
916 25 4 0
917 29 1 1
918 29 1 1
919 28 1 1
920 17 4 0
921 31 4 0
922 17 4 0
923 31 1 1
924 31 1 1
925 31 1 1
926 31 1 1
927 28 1 1
928 17 4 0
929 31 1 1
930 27 1 1
931 23 4 0
932 27 1 1
933 29 1 1
934 28 1 1
935 25 1 1
936 26 4 0
937 28 1 1
938 29 1 1
939 26 4 0
940 28 4 0
941 26 1 1
942 27 1 3
943 27 1 1
944 25 1 1
945 31 1 1
946 26 1 5
947 24 4 0
948 23 4 0
949 29 1 1
950 28 1 1
951 34 1 1
952 29 1 1
953 31 1 1
954 28 4 0
955 30 1 1
956 27 1 1
957 30 1 1
958 29 1 1
959 28 1 1
960 30 1 1
961 30 1 1
962 31 1 1
963 32 1 1
964 26 4 0
965 28 4 0
966 29 1 1
967 23 4 0
968 17 4 0
969 30 1 1
970 24 4 0
971 29 1 1
972 26 1 1
973 25 4 0
974 27 1 5
975 27 4 0
976 29 1 1
977 28 1 1
978 28 1 1
979 26 4 0
980 29 1 1
981 32 1 1
982 27 1 1
983 27 4 0
984 28 1 3
985 32 1 1
986 27 4 0
987 25 1 3
988 28 1 1
989 31 1 1
990 30 1 1
991 33 1 1
992 24 4 0
993 17 4 0
994 31 1 1
995 25 4 0
996 29 1 1
997 30 1 1
998 29 1 1
999 26 1 1
1000 36 1 1
